Site,LEC,# of DS1s,City,State,County,Lat,Long,NPA-NXX,Zip,Technology,MSC Location
DA 4119-2-1-0125-BROOK_HOLLOW,ATT,18,DALLAS,TX,DALLAS,32-49-29,-96-52-30,214-631,75247,LTE,ARLINGTON
DA 4119-3-1-0102-SUNDANCE,ATT,11,FORT WORTH,TX,TARRANT,32-45-13,-97-19-51,817-332,76102,LTE,ARLINGTON
DA 4119-3-1-0027-SOLANA_REPL,ATT,10,SOUTHLAKE,TX,DENTON,32-59-11,-97-09-26,,76262,LTE,ARLINGTON
DA 4119-3-1-0319-GAYLORD_TEXAN,ATT,10,GRAPEVINE,TX,TARRANT,32-57-24.08,-97-03-49.83,,76051,LTE,ARLINGTON
DA 4119-3-1-0048-ECHO_HILLS_PARK_REPL,ATT,8,NORTH RICHLAND HILLS,TX,TARRANT,32-52-50.18,-97-11-15.58,,76180,LTE,ARLINGTON
DA 4119-3-1-0056-SUMMERFIELDS,ATT,8,FORT WORTH,TX,TARRANT,32-52-32.3,-97-18-57.3,817-232,76137,LTE,ARLINGTON
DA 4119-2-1-0018-LITTLE_ELM,ATT,7,LITTLE ELM,TX,DENTON,33-11-19.1,-96-53-14.6,972-377,75068,LTE,ARLINGTON
DA 4119-2-1-0130-LONE_STAR,VZW,7,DALLAS,TX,DALLAS,32-46-08,-96-51-23,214-631,75208,LTE,ARLINGTON
DA 4119-3-1-0029-ROANOKE_SS,ATT,7,DENTON CO.,TX,DENTON,32-59-31.7,-97-15-50.3,817-491,76262,LTE,ARLINGTON
DA 4119-3-1-0051-GOLDEN_TRIANGLE,ATT,7,HASLET,TX,TARRANT,32-55-54,-97-19-29,817-431,76052,LTE,ARLINGTON
DA 4119-3-1-0068-RICHLAND_CENTRE,ATT,7,NORTH RICHLAND HILLS,TX,TARRANT,32-50-23,-97-11-21,817-281,76054,LTE,ARLINGTON
DA 4119-3-1-0140-TIMBER_RUN,ATT,7,ARLINGTON,TX,TARRANT,32-37-46,-97-10-20,817-478,76001,LTE,ARLINGTON
DA 4119-2-1-0049-TELECOM_CORRIDOR,ATT,6,RICHARDSON,TX,DALLAS,32-58-40.5,-96-42-58.0,972-231,75080,LTE,ARLINGTON
DA 4119-2-1-0105-ROCKWALL,ATT,6,ROCKWALL,TX,ROCKWALL,32-53-20,-96-26-33,972-722,75032,LTE,ARLINGTON
DA 4119-2-1-0313-SPRING_VALLEY_CENTER,ATT,6,DALLAS,TX,DALLAS,32-56-19.43,-96-49-11.52,,75254,LTE,ARLINGTON
DA 4119-3-1-0070-IRON_HORSE,ATT,6,NORTH RICHLAND HILLS,TX,TARRANT,32-50-22,-97-14-33,817-281,76180,LTE,ARLINGTON
DA 4119-3-1-0073-BLUE_MOUND,ATT,6,SAGINAW,TX,TARRANT,32-50-27,-97-20-42,817-624,76106,LTE,ARLINGTON
DA 4119-3-1-0101-GALVESTON,ATT,6,FORT WORTH,TX,TARRANT,32-44-20,-97-19-33,817-332,76104,LTE,ARLINGTON
DA 4119-3-1-0104-WEST_SERVICE_CENTER,ATT,6,FORT WORTH,TX,TARRANT,32-44-21,-97-21-52,817-731,76107,LTE,ARLINGTON
DA 4119-3-1-0111-PAFFORD_STREET_SS,ATT,6,FORT WORTH,TX,TARRANT,32-41-41,-97-21-13,817-921,76110,LTE,ARLINGTON
DA 4119-3-1-0359-MANSFIELD_TOWN_CENTER,ATT,6,MANSFIELD,TX,TARRANT,32-36-00.73,-97-08-47.34,817-473,76063,LTE,ARLINGTON
DA 4119-3-1-0370-LINDENTREE_LANE,ATT,6,FORT WORTH,TX,TARRANT,32-52-08.7,-97-15-48.6,,76137,LTE,ARLINGTON
DA 4119-2-1-0031-COLONY_WT,ATT,5,THE COLONY,TX,DENTON,33-05-03,-96-53-04,972-370,75056,LTE,ARLINGTON
DA 4119-3-1-0020-GRAPEVINE_NORTH,ATT,5,FLOWER MOUND,TX,DENTON,33-02-34,-97-07-24,817-491,75028,LTE,ARLINGTON
DA 4119-3-1-0074-LAKE_WORTH_WATER_TOWER,ATT,5,LAKE WORTH,TX,TARRANT,32-49-05.0,-97-24-51.7,,76135,LTE,ARLINGTON
DA 4119-3-1-0078-RIVER_OAKS,ATT,5,RIVER OAKS,TX,TARRANT,32-46-44,-97-23-37,817-624,76114,LTE,ARLINGTON
DA 4119-3-1-0082-BELKNAP,ATT,5,FORT WORTH,TX,TARRANT,32-47-25,-97-17-31,817-831,76111,LTE,ARLINGTON
DA 4119-3-1-0100-7TH_AND_JONES,ATT,5,FORT WORTH,TX,TARRANT,32-45-13,-97-19-34,817-332,76102,LTE,ARLINGTON
DA 4119-3-1-0103-HUNTERS_PLAZA,ATT,5,FORT WORTH,TX,TARRANT,32-45-13,-97-20-09,817-332,76102,LTE,ARLINGTON
DA 4119-3-1-0112-BRYAN_STREET_SS,ATT,5,FORT WORTH,TX,TARRANT,32-42-17,-97-19-30,817-921,76110,LTE,ARLINGTON
